Unnamed: 0,model,price_label
616,"f-150 lariat,one owner, $489.49 month, $2500 down, 2.9%a one owner, $489.49 month, $2500 down, 2.9%apr, oac",10
617,"f-150 stx,only 28k miles, almost new, save thousands!!! stx,one owner, only 28k miles, save thousands compared to new!!!",3
618,"f-150 lariat, lifted, 4x4 lariat, lifted, 4x4",10
619,"f-150 king ranch,$575.25 month, $2500 down, 2.9% apr, 72 $575.25 month, $2500 down, 2.9% apr, 72 months, oac,",14
620,"f-150 lariat, $436.73, $2500 down, 2.9% apr, oac lariat, $436.73, $2500 down, 2.9% apr, oac",10
621,"f-150 lariat $520.91 month, 2.9% apr, oac, $2500 down,84 mths",10
622,f150 svt raptor 4x4 gas,18
623,f-150 triton v8 5.4l,-1
624,f-150 king ranch crew,14
625,f-150 xlt crew,5
626,f-150 stx super cab,3
627,f-150 supercab xlt 4x4,5
628,f-150 stx crew,3
629,f-150 ranger,-1
630,f-150 long bed xl,2
631,f-150 koi,-1
632,f-150 standard cab,-1
633,"f-150 4wd supercab 145"" xl",2
634,f150 king ranch fx4 4x4 gas,14
635,f150 stx 4x4 1/2 ton gas,3
636,lifted f150 fx4 4x4 1/2 ton,8
637,f-150 xlt fx4crew cab,5
638,f-150 xlt off-,5
639,f-150 xlt supercrew 6.5-ft. bed 4wd,5
640,f-150 base 3dr extended c,-1
641,"f-150 xl - 3 month 3,000 miles limited warranty",17
642,f-150 platinum 4dr superc,15
643,f150 shelby raptor baja 4x4,18
644,f-150 king ranch 4dr supe,14
645,f150 limited 4x4 1/2 ton,17
646,f150 xl stx 4x4 1/2 ton gas,3
647,f-150 lariat lariat 4dr sup,10
648,f150 xl rwd 1/2 ton gas,2
649,f-150 lariat steeda,10
650,lifted f150 xlt rwd 1/2 ton,5
651,f150 king ranch 4x4 1/2 ton,14
652,f150 lariat rwd half ton,10
653,f-150 black,-1
654,f-150 xlt 3dr extended ca,5
655,f150 raptor 4x4 1/2 ton gas,18
656,f150 raptor 4x4 half ton,18
657,f150 4door 4x4,-1
658,f150 xl single cab,2
659,f150 supercrew platinum,15
660,lifted f150 xlt xtr 4x4 gas,5
661,f150 flare side,-1
662,f150 crew cab,-1
663,f150 xlt triton v8,5
664,f150 extended cab 4x4,-1
665,f150xlt,5
666,f-150 xlt sport 4x4 crew,5
667,f150 crewcab xlt,5
668,f-150 fx4 sport appearance,8
669,f150 4x4 heritage,6
670,f-150 heritage,6
671,"f150, xlt",5
672,"f150, platinum",15
